ssn,phone,city,maritalstatus,fullname,birthdate
116-55-1732,(07)-6473-3325,Plano (Texas),Common-Law,Ollie Boren,1987-04-01
425-44-1394,(03)-5002-4206,Wichita (Kansas),Common-Law,Carlotta Frank,1977-02-20
116-55-1676,(05)-9292-7208,Fort Wayne (Indiana),Divorced,Tania Aliff,1983-01-11
166-34-1022,(03)-6865-3262,Tampa (Florida),Single,Rickie Nicola,1979-09-10
216-32-1629,(09)-6865-1452,Philadelphia[8] (Pennsylvania),Common-Law,Russel Prado,1983-08-06
429-93-1747,(07)-3460-3563,Laredo (Texas),Married,Armand Amato,1987-10-04
408-54-1753,(07)-6191-3997,Dallas (Texas),Single,Doris Wickham,1972-09-13
224-30-1837,(05)-6865-4606,Norfolk (Virginia),Divorced,Demetrius Michael,1990-05-27
339-74-1394,(09)-6745-3325,Cleveland (Ohio),Single,Carina Gilmore,1981-01-31
323-82-1101,(07)-4858-9187,Mesa (Arizona),Divorced,Boyd Mccleskey,1982-11-25
224-54-1545,(09)-7508-5952,St. Petersburg (Florida),Divorced,Kelsey Gregory,1981-09-16
320-81-1012,(05)-5902-8055,Fresno (California),Married,Andrew Taliaferro,1987-09-24
138-34-1367,(03)-2298-3325,Henderson (Nevada),Single,Kira Hess,1982-05-29
238-23-1511,(04)-8685-1478,Colorado Springs (Colorado),Single,Mitsue Burns,1987-12-23
144-31-1399,(05)-3949-3325,Baltimore (Maryland),Divorced,Darryl Draper,1982-09-21
216-82-1858,(03)-2926-4339,Albuquerque (New Mexico),Common-Law,Edmond Shipley,1975-12-03
144-30-1828,(07)-3468-3325,Miami (Florida),Single,Caridad Post,1980-04-28
391-54-1995,(09)-6865-3997,Omaha (Nebraska),Married,Patricia Renaud,1984-09-02
166-99-1692,(05)-5062-6480,Anchorage (Alaska),Divorced,Mirtha Gant,1971-11-15
138-85-1950,(09)-4370-4634,Sacramento (California),Divorced,Virgil Schilling,1977-04-28
408-83-1021,(07)-3949-9910,Chicago (Illinois),Divorced,Noelia Westgate,1990-01-30
166-74-1692,(09)-6486-6781,Milwaukee (Wisconsin),Divorced,Lesha Sifuentes,1984-12-06
287-54-1950,(03)-2298-6681,San Antonio (Texas),Single,Loreen Hoover,1990-07-09
287-46-1768,(09)-5146-8055,Norfolk (Virginia),Divorced,Betsy Arredondo,1985-02-21
425-23-1050,(07)-7703-4208,Phoenix (Arizona),Divorced,Esteban Engler,1982-04-26
238-99-1809,(07)-8685-8432,Chesapeake (Virginia),Divorced,Cristina Gosnell,1986-04-12
279-54-1813,(07)-5794-1114,Los Angeles (California),Divorced,Ann Harmer,1975-06-11
138-99-1006,(07)-2905-9470,Philadelphia[8] (Pennsylvania),Common-Law,Kimberly Wilcher,1980-05-01
224-55-1692,(04)-7973-7887,Memphis (Tennessee),Married,Ervin Wenger,1969-08-26
279-82-1958,(08)-5794-8223,Orlando (Florida),Single,Joseph Mastropietro,1974-10-05
279-32-1345,(08)-3339-4606,Columbus (Ohio),Divorced,Delma Yuan,1974-04-02
238-31-1378,(03)-5330-3345,El Paso (Texas),Divorced,Lindsey Winkel,1983-01-02
425-32-1907,(07)-7905-4870,Fresno (California),Married,Celia Claybrooks,1979-12-15
279-81-1692,(04)-7508-5952,Newark (New Jersey),Single,Shannon Mackie,1981-10-23
144-44-1289,(09)-6812-8405,Philadelphia[8] (Pennsylvania),Common-Law,Adeline Boese,1974-01-10
323-34-1629,(07)-8685-5560,Madison (Wisconsin),Divorced,Lloyd Naquin,1986-11-24
224-44-1269,(09)-9235-7456,Chula Vista (California),Married,Kendall Eversole,1990-08-21
368-44-1514,(07)-1350-8942,Colorado Springs (Colorado),Common-Law,Johanna Rubio,1972-07-31
138-18-1768,(08)-9235-7456,Madison (Wisconsin),Married,Felica Ali,1985-04-11
408-55-1193,(09)-4858-8055,Columbus (Ohio),Single,Debora Pool,1989-11-09
323-55-1199,(07)-9365-5202,Garland (Texas),Married,Maxie Calhoun,1978-10-16
166-25-1753,(03)-2926-4206,Richmond (Virginia),Married,Kenny Wilkinson,1970-09-29
368-74-1731,(03)-3320-8968,Fort Wayne (Indiana),Married,Valarie Briley,1985-06-15
323-30-1345,(09)-9365-4870,Washington (District of Columbia),Divorced,Kurtis Booth,1981-04-30
408-99-1038,(08)-9333-4444,Jacksonville (Florida),Married,Rex Armstead,1975-12-14
320-25-1158,(09)-5502-8567,Miami (Florida),Single,Brendan Godbold,1969-06-23
177-60-1011,(04)-3949-1452,Greensboro (North Carolina),Common-Law,Delores Sato,1972-11-10
429-18-1148,(04)-3460-7208,Gilbert (Arizona),Married,Olen Mcgough,1978-07-22
279-54-1491,(09)-6865-4983,Philadelphia[8] (Pennsylvania),Common-Law,Pearlene Talavera,1990-10-08
425-23-1289,(05)-5902-5952,Anaheim (California),Single,Joseph Guiterrez,1972-02-26
177-44-1061,(05)-5794-5388,Scottsdale (Arizona),Single,Agnes Elder,1978-06-21
238-54-1521,(03)-3468-9187,Santa Ana (California),Common-Law,Francine Landry,1981-07-22
166-46-1629,(07)-4286-6480,Glendale (Arizona),Single,Tony Dement,1972-12-19
301-51-1417,(09)-2926-4634,Tucson (Arizona),Married,Erin Schell,1971-09-25
279-32-1288,(08)-4858-5202,St. Petersburg (Florida),Single,Davis Staley,1975-04-30
138-23-1974,(07)-2905-5388,Anchorage (Alaska),Married,Roland Stolte,1983-03-25
216-25-1338,(03)-2926-1179,Jersey City (New Jersey),Divorced,Wallace Martindale,1990-12-09
381-30-1840,(08)-7504-1247,Stockton (California),Single,Amos Boyter,1981-12-22
323-60-1374,(07)-6975-8640,Chicago (Illinois),Divorced,Wayne Maples,1979-09-17
279-31-1559,(04)-5330-7887,Buffalo (New York),Married,Suzanne Mclaughlin,1981-10-13
429-32-1922,(07)-9854-1247,El Paso (Texas),Single,Ingrid Dearborn,1971-06-10
216-82-1283,(08)-5592-4508,Phoenix (Arizona),Divorced,Tori Bowlin,1986-03-02
224-46-1727,(08)-4370-9523,Memphis (Tennessee),Common-Law,Nickolas Yocum,1969-01-22
408-81-1374,(05)-7703-6898,Stockton (California),Single,Sheena Pedroza,1976-01-11
287-23-1399,(04)-6812-5202,Jersey City (New Jersey),Single,Neil Vaughn,1979-10-30
287-23-1666,(05)-5330-3197,San Jose (California),Common-Law,Lola Slavens,1976-02-13
368-82-1759,(08)-3433-1433,Anaheim (California),Single,Kristine Schindler,1976-11-13
166-60-1992,(03)-1350-9470,Anchorage (Alaska),Divorced,Emil Voris,1987-11-16
116-74-1583,(03)-9292-3197,Detroit (Michigan),Single,Casey Henton,1972-01-29
323-82-1519,(09)-5179-2115,Phoenix (Arizona),Common-Law,Oren Dortch,1972-06-30
339-60-1854,(07)-5854-2465,Reno (Nevada),Single,Palma Twitty,1988-04-03
287-30-1327,(08)-8685-4508,Durham (North Carolina),Divorced,Gayla Coker,1988-08-24
339-93-1535,(05)-5125-8968,Nashville (Tennessee),Married,Marion Couture,1970-08-18
238-30-1620,(03)-7508-5241,Lubbock (Texas),Married,Jake Baccus,1988-11-29
166-99-1262,(07)-5592-5075,Atlanta (Georgia),Single,Wilma Pfeffer,1981-03-08
391-54-1019,(04)-2905-5202,Chandler (Arizona),Single,Lawerence Santiago,1978-09-17
381-23-2000,(03)-2298-8968,New Orleans (Louisiana),Single,Anissa Budde,1974-06-02
177-44-1579,(04)-5330-8432,Richmond (Virginia),Common-Law,Dianna Escobar,1986-04-23
116-85-1145,(07)-7504-8968,Lubbock (Texas),Divorced,Milo Watanabe,1974-10-03
425-51-1269,(09)-5794-8405,Bakersfield (California),Married,Alexander Mcgurk,1988-12-31
301-55-1093,(07)-4858-9130,Stockton (California),Married,Jill Mcroberts,1980-09-18
138-81-1021,(03)-6975-5036,Virginia Beach (Virginia),Common-Law,Beulah Will,1976-12-23
391-31-1339,(09)-5050-4289,Lincoln (Nebraska),Married,Russel Snow,1972-03-16
429-99-1811,(03)-5902-7818,Nashville (Tennessee),Single,Ezekiel Cornwell,1982-07-19
429-46-1893,(09)-6486-3345,Wichita (Kansas),Married,Dallas Timmons,1985-01-22
391-32-1605,(03)-6473-4208,Henderson (Nevada),Married,Rodolfo Cathey,1970-08-16
381-44-1048,(09)-5502-3262,Mesa (Arizona),Married,Ursula Hall,1983-07-22
429-23-1822,(07)-3320-8548,Buffalo (New York),Married,Karla Arrowood,1973-08-09
425-31-1312,(05)-3949-4345,Richmond (Virginia),Common-Law,Jared Allison,1976-11-26
429-82-1339,(09)-5502-5241,Glendale (Arizona),Single,Ann Carlyle,1978-04-15
425-23-1383,(09)-9235-4345,Anaheim (California),Single,Jana Hampton,1984-07-02
391-18-1083,(03)-5502-7208,Columbus (Ohio),Common-Law,Kami Anthony,1990-01-26
224-44-1140,(03)-6975-7402,Louisville (Kentucky),Divorced,Marilynn Laxton,1982-12-21
301-85-1954,(09)-9999-5388,Jacksonville (Florida),Divorced,Royce Mccauley,1970-06-13
279-81-1635,(09)-9365-6362,Buffalo (New York),Common-Law,Christina Mcclellan,1983-12-24
216-23-1753,(05)-3320-6781,Indianapolis[11] (Indiana),Married,Consuelo Dodson,1988-04-20
238-60-1043,(07)-9292-5241,Miami (Florida),Married,Esther Sun,1974-08-11
408-51-1483,(04)-3320-1247,Jacksonville (Florida),Divorced,Tuan Hagen,1987-05-31
320-51-1000,(03)-8685-3345,Virginia Beach (Virginia),Single,Lorrie Case,1983-10-01
279-54-1647,(05)-9854-6629,El Paso (Texas),Married,Reginald Rendon,1988-08-07
368-51-1093,(05)-7973-6480,Baton Rouge (Louisiana),Single,Salvatore Crawley,1988-11-14
224-82-1341,(05)-6486-3262,Irving (Texas),Common-Law,Nellie Curry,1979-05-18
339-34-1283,(04)-5794-5202,Austin (Texas),Divorced,Johnnie Roussel,1981-04-20
381-99-1171,(04)-5002-8193,Nashville (Tennessee),Married,Elena Reyer,1982-04-27
177-44-1216,(08)-6745-8942,Lincoln (Nebraska),Divorced,Ricky Ellzey,1977-08-17
323-25-1043,(08)-5125-3554,Columbus (Ohio),Common-Law,Jimmy Mossman,1979-03-13
116-83-1227,(07)-4370-7370,Fresno (California),Divorced,Perry Staton,1983-09-09
144-60-1315,(05)-6812-4208,San Jose (California),Married,Josie Mchenry,1987-10-22
177-83-1038,(09)-4370-3563,Miami (Florida),Married,Felica Geise,1981-09-29
429-83-1840,(09)-9365-4345,Charlotte (North Carolina),Married,Houston Beatty,1986-01-03
408-85-1974,(03)-3858-6681,Sacramento (California),Single,Jessica Gann,1989-10-20
238-99-1332,(04)-8435-5036,Lexington (Kentucky),Married,Andre Carter,1989-12-24
166-46-1733,(08)-9235-7191,Winston–Salem (North Carolina),Married,Regina Edge,1984-09-30
166-51-1344,(04)-5050-1114,Fresno (California),Divorced,Jeremiah Robbins,1990-03-11
116-74-1468,(07)-6486-4444,Bakersfield (California),Common-Law,Elva Harn,1973-11-24
391-85-1496,(04)-7905-4444,Louisville (Kentucky),Divorced,Randi Wilder,1986-09-23
166-82-1448,(04)-7508-9523,Boston (Massachusetts),Single,Crista Amaro,1989-10-24
238-44-1676,(03)-9854-4508,Indianapolis[11] (Indiana),Divorced,Jackie Finney,1989-04-19
425-46-1423,(07)-6865-1478,Oakland (California),Married,Tom Ali,1969-03-18
320-83-1500,(08)-8288-5075,Jacksonville (Florida),Single,Ramona Lindauer,1970-06-21
391-74-1805,(04)-3320-5801,Kansas City (Missouri),Divorced,Patrick Vargas,1973-03-31
287-44-1199,(03)-7905-9511,San Jose (California),Married,Garry Mcdade,1970-02-26
177-46-1329,(08)-8288-5867,Glendale (Arizona),Common-Law,Ola Peiffer,1976-03-27
216-51-1563,(03)-3339-7818,Hialeah (Florida),Divorced,Belinda Waddell,1980-12-09
279-30-1605,(04)-9854-7191,Baltimore (Maryland),Common-Law,Leonard Orman,1987-04-22
301-81-1768,(03)-4858-3262,Portland (Oregon),Single,Bradley Cooper,1977-09-16
339-83-1805,(04)-5502-7818,Chicago (Illinois),Married,Dave Martin,1975-12-13
238-60-1393,(05)-2298-9470,Las Vegas (Nevada),Married,Dylan Klahn,1985-05-28
287-83-1000,(03)-9999-4444,Tampa (Florida),Divorced,Cordell Teske,1987-04-28
301-18-1849,(09)-9854-3197,Sacramento (California),Divorced,Lola Casella,1987-02-12
287-32-1392,(05)-8685-9910,Buffalo (New York),Common-Law,Brendan Pham,1982-03-18
323-85-1954,(05)-9235-5867,Raleigh (North Carolina),Single,Ola Snowden,1990-02-01
279-51-1507,(07)-4370-8640,Orlando (Florida),Married,Linwood Ricks,1986-08-01
238-60-1101,(05)-7973-8507,Norfolk (Virginia),Single,Bertie Jorgenson,1975-09-26
116-99-1612,(07)-9235-7370,Tucson (Arizona),Divorced,Bill Clune,1987-03-07
166-99-1727,(09)-5902-7818,Long Beach (California),Married,Val Tafolla,1987-01-27
177-85-1327,(05)-3320-5801,El Paso (Texas),Common-Law,Sherri Terry,1969-07-12
320-46-1680,(08)-9235-5202,Virginia Beach (Virginia),Common-Law,Harriet Emrich,1990-12-06
177-31-1332,(03)-3339-5952,Tulsa (Oklahoma),Divorced,Forrest Packard,1977-07-26
166-85-1994,(03)-2298-4176,Albuquerque (New Mexico),Divorced,Elmo Patch,1980-04-01
320-46-1549,(04)-5062-6681,Stockton (California),Single,Jenny Whitlock,1988-01-20
166-55-1286,(09)-5146-4870,Stockton (California),Common-Law,Rick Graham,1977-01-26
301-93-1331,(05)-5179-1633,Virginia Beach (Virginia),Married,Ping Dunlop,1984-07-23
138-31-1733,(09)-8685-5326,New York (New York),Single,Nancy Sneed,1979-01-19
177-44-1435,(03)-9235-9114,Toledo (Ohio),Single,Graciela Powers,1980-01-15
301-32-1500,(09)-9719-5075,St. Petersburg (Florida),Single,Meg Lemen,1973-09-16
279-85-1341,(03)-5592-4345,Indianapolis[11] (Indiana),Common-Law,Lonnie Denson,1969-07-15
408-55-1828,(07)-9999-2465,Omaha (Nebraska),Common-Law,Shelly Ruis,1971-02-01
381-54-1612,(05)-4370-3262,Saint Paul (Minnesota),Married,Elvia Woodard,1987-01-07
238-81-1283,(09)-6486-5970,Scottsdale (Arizona),Divorced,Yu Maldonado,1987-05-13
429-99-1489,(03)-4370-4176,Laredo (Texas),Single,Otis Panek,1987-11-21
368-81-1535,(03)-9854-7191,Norfolk (Virginia),Divorced,Allie Bergquist,1972-01-20
301-81-1383,(03)-9292-3262,Fresno (California),Common-Law,Josie Abraham,1975-01-15
429-34-1405,(08)-5062-2714,Lincoln (Nebraska),Single,Samuel Chicoine,1972-11-16
177-83-1083,(05)-7508-8193,Long Beach (California),Single,Margaret Hammons,1985-01-26
301-83-1483,(08)-7703-5326,Milwaukee (Wisconsin),Common-Law,Debra Haley,1977-05-16
368-30-1025,(09)-6745-4508,Greensboro (North Carolina),Common-Law,Lupe Dowdell,1972-07-09
323-60-1313,(07)-2926-4444,New Orleans (Louisiana),Single,Ed Salaam,1971-05-07
381-18-1995,(05)-2905-1791,Albuquerque (New Mexico),Married,Luke Lopez,1990-08-05
368-85-1101,(09)-7508-2315,Fremont (California),Common-Law,Jeremy Seifert,1983-12-30
177-23-1226,(05)-6191-1478,Dallas (Texas),Single,Mitzi White,1976-01-06
166-83-1156,(09)-5002-9511,Plano (Texas),Divorced,Donny Jacobson,1982-04-27
238-23-1985,(05)-5125-1423,Columbus (Ohio),Single,Camilla Scroggins,1975-03-28
144-25-1376,(07)-4858-5241,Baltimore (Maryland),Married,Lakia Aikin,1972-03-04
381-60-1383,(04)-7973-8548,Minneapolis (Minnesota),Married,Kay Squier,1981-07-31
320-18-1893,(07)-5902-8568,Denver (Colorado),Common-Law,Cassandra Buckingham,1969-02-25
116-99-1374,(09)-5854-7402,Irving (Texas),Single,Erica Kehl,1973-12-01
279-46-1811,(04)-5580-1114,Bakersfield (California),Married,Lance Bartlett,1974-08-12
323-30-1145,(04)-4286-3997,Wichita (Kansas),Married,Alexis Baldree,1985-11-05
425-85-1285,(09)-5062-1179,Richmond (Virginia),Common-Law,Leola Besser,1980-11-07
177-60-1922,(08)-5050-1791,Raleigh (North Carolina),Divorced,Ervin Knudtson,1982-02-09
116-81-1907,(08)-1350-2315,Chesapeake (Virginia),Common-Law,Erik Stockman,1976-09-01
177-74-1043,(07)-5062-5019,Albuquerque (New Mexico),Divorced,Roger Clouser,1974-08-23
238-99-1253,(03)-3460-4345,Santa Ana (California),Married,Lulu Brunner,1984-07-27
425-60-1313,(07)-9292-2735,Anchorage (Alaska),Common-Law,Lori Marone,1978-07-08
144-82-1237,(09)-5854-4508,San Antonio (Texas),Single,Hung Rico,1981-11-15
391-31-1979,(04)-1199-4444,Greensboro (North Carolina),Married,Ellis Pike,1974-08-15
166-83-1733,(05)-4370-1764,Tulsa (Oklahoma),Common-Law,Jules Marsden,1983-02-22
177-18-1202,(04)-9365-2115,Baltimore (Maryland),Common-Law,Julie Jeanpierre,1985-11-18
301-34-1101,(03)-5902-7887,Tampa (Florida),Common-Law,Fern Belcher,1978-06-23
138-46-1324,(08)-6486-7414,Tucson (Arizona),Common-Law,Lakesha Weatherford,1971-02-12
287-23-1968,(09)-3433-9511,Sacramento (California),Single,Raul Naranjo,1976-02-27
368-93-1227,(04)-6191-5019,St. Louis (Missouri),Married,Natalia Huffaker,1979-10-09
216-83-1603,(08)-8685-8432,Kansas City (Missouri),Divorced,Rosemarie Sigler,1984-01-17
391-46-1506,(05)-6812-4289,San Bernardino (California),Married,Rosaria Newborn,1971-07-14
391-34-1483,(08)-7905-2714,Columbus (Ohio),Common-Law,Gregory Ferrari,1969-11-05
368-32-1021,(09)-7504-9187,Chula Vista (California),Single,Ena Solem,1970-07-17
279-23-1469,(09)-9365-2735,Plano (Texas),Married,Christal Borja,1989-02-27
166-85-1054,(07)-3468-6766,Milwaukee (Wisconsin),Married,June Salvatore,1986-12-25
323-82-1054,(08)-5125-1452,Anchorage (Alaska),Divorced,Corey Matlock,1974-10-03
425-81-1327,(09)-3433-5965,Plano (Texas),Divorced,Ila Truong,1969-04-01
381-55-1156,(03)-2298-7456,Chicago (Illinois),Common-Law,Samuel Day,1972-12-25
224-46-1327,(09)-2926-1452,North Las Vegas (Nevada),Divorced,Augusta Port,1976-04-28
287-93-1907,(04)-9365-8567,Gilbert (Arizona),Married,Vernon Bledsoe,1976-02-04
238-83-1703,(05)-3339-5965,Buffalo (New York),Common-Law,Jody Palacios,1970-02-04
323-51-1512,(03)-5854-4444,Anaheim (California),Single,Leota Papineau,1989-03-26
116-60-1496,(03)-9854-4444,Toledo (Ohio),Married,Lucia Maus,1975-01-30
339-74-1968,(04)-5794-4176,San Diego (California),Divorced,Luz Jeans,1973-05-15
429-30-1974,(07)-5502-6500,Saint Paul (Minnesota),Divorced,Herman Fontaine,1973-09-26
144-74-1084,(03)-5502-5075,Baltimore (Maryland),Single,Teresa Lucy,1984-06-27
301-23-1262,(07)-9999-1433,St. Louis (Missouri),Common-Law,Bernice Mccollum,1984-08-15
116-55-1163,(07)-5580-1423,Irving (Texas),Married,Lynne Cadiz,1974-03-07
381-30-1006,(08)-9365-6898,Saint Paul (Minnesota),Common-Law,Kecia Licata,1982-04-05
279-60-1912,(07)-8685-7286,Fremont (California),Married,Elisa Blakely,1972-12-08
425-82-1891,(08)-6486-3197,Long Beach (California),Common-Law,Cassie Cohrs,1982-06-26
391-83-1020,(05)-5580-4606,Colorado Springs (Colorado),Single,Danielle Marquette,1989-01-13
381-30-1163,(04)-3468-2611,Corpus Christi (Texas),Common-Law,Toshia Luckey,1984-05-17
323-30-1979,(04)-4286-2725,Anchorage (Alaska),Single,Lottie Beeson,1983-11-10
138-25-1227,(08)-7973-2725,Laredo (Texas),Divorced,Kendall Gilbreath,1990-06-22
425-83-1074,(07)-7508-6480,San Francisco (California),Married,Christena Spade,1976-11-23
339-54-1813,(09)-5902-4870,North Las Vegas (Nevada),Common-Law,Curt Gray,1971-04-09
408-32-1263,(05)-5179-6922,Chicago (Illinois),Married,Sal Eastep,1983-10-03
166-30-1383,(08)-9854-2725,San Diego (California),Married,Trina Manly,1970-02-12
320-83-1914,(05)-3949-4634,Chesapeake (Virginia),Married,Bari Donaldson,1977-05-13
216-18-1849,(04)-4370-1478,Mesa (Arizona),Single,Wilbert Rocha,1982-08-25
166-85-1512,(04)-9292-3278,Fort Worth (Texas),Common-Law,Gloria Crumley,1982-02-09
381-60-1647,(07)-9999-5202,Lubbock (Texas),Divorced,Jena Hughes,1973-03-16
391-74-1922,(03)-8288-5713,Long Beach (California),Divorced,Bradley Hampton,1984-09-17
177-85-1893,(08)-7905-4208,Chandler (Arizona),Divorced,Almeda Palmer,1975-03-23
279-82-1647,(09)-7973-1079,Boston (Massachusetts),Married,Brady Gruver,1986-11-12
224-99-1479,(07)-5502-8223,Norfolk (Virginia),Divorced,Freddie Sansone,1976-05-11
320-83-1530,(03)-5592-5560,Boston (Massachusetts),Common-Law,Rhoda Minaya,1982-12-15
279-81-1629,(03)-7508-7527,Stockton (California),Common-Law,Alane William,1985-10-26
320-31-1854,(05)-8435-7414,Oakland (California),Divorced,Jerri Clay,1990-11-17
238-54-1507,(07)-8288-7887,Dallas (Texas),Divorced,Vannesa Madera,1973-05-29
429-18-1093,(04)-6975-7527,Fort Wayne (Indiana),Married,Lois Sanders,1988-12-01
279-31-1680,(05)-8435-4176,Milwaukee (Wisconsin),Single,Jena Kreider,1981-01-03
177-32-1629,(05)-9719-7352,Laredo (Texas),Single,Allie Kyle,1985-10-27
279-44-1922,(04)-5125-8968,Oklahoma City (Oklahoma),Single,Jerald Oberlander,1980-10-16
391-31-1664,(07)-9235-7414,San Bernardino (California),Divorced,Maribel Solum,1981-03-17
368-32-1156,(08)-6486-1114,Long Beach (California),Divorced,Margery Dicks,1980-08-18
301-93-1392,(04)-3949-4508,Henderson (Nevada),Common-Law,Bari Holmes,1988-09-21
116-81-1159,(04)-9365-5241,Greensboro (North Carolina),Common-Law,Claribel Newsom,1970-01-26
339-83-1981,(09)-9854-7402,Milwaukee (Wisconsin),Divorced,Carlos Jordon,1978-03-31
177-54-1148,(05)-4370-7818,Gilbert (Arizona),Common-Law,Emilio Garza,1974-07-03
116-34-1216,(08)-4370-7352,San Antonio (Texas),Divorced,Robbie Spivey,1969-07-30
144-46-1084,(07)-5902-1433,Chula Vista (California),Common-Law,Solomon Burleson,1976-10-13
323-34-1602,(03)-6745-3325,Honolulu (Hawaii),Common-Law,Sabrina Lyle,1970-01-30
323-55-1011,(03)-3949-4176,Nashville (Tennessee),Single,Lakeisha Mckain,1976-09-10
391-83-1642,(09)-5794-5952,Stockton (California),Divorced,Jillian Felts,1975-05-27
381-18-1723,(05)-9333-7402,Chesapeake (Virginia),Common-Law,Reynaldo Jamar,1985-06-17
408-93-1995,(04)-6473-4634,Orlando (Florida),Single,Todd Ojeda,1976-02-21
216-60-1339,(04)-9365-7818,Boston (Massachusetts),Common-Law,Pennie Cohrs,1990-02-12
323-25-1000,(05)-5592-2315,Seattle (Washington),Married,Tyrone Vasquez,1979-02-22
320-34-1837,(03)-4286-1423,Buffalo (New York),Common-Law,Dodie Barbosa,1974-03-09
301-30-1912,(08)-5062-8968,Indianapolis[11] (Indiana),Divorced,Natalia Markle,1973-04-04
287-18-1025,(07)-5125-5019,Columbus (Ohio),Married,Marsha Anspach,1979-09-27
391-82-1006,(04)-1199-4634,Washington (District of Columbia),Common-Law,Liz Lacy,1971-03-16
144-83-1811,(09)-2905-5326,Atlanta (Georgia),Married,Damaris Herrington,1986-09-21
144-34-1291,(07)-6191-7402,Charlotte (North Carolina),Single,Migdalia Chisolm,1978-02-13
368-32-1442,(05)-2905-3325,Jacksonville (Florida),Common-Law,Gregory Lockard,1980-04-06
166-74-1312,(07)-5502-4345,Houston (Texas),Single,Darlene Durbin,1984-04-02
391-55-1074,(07)-6473-7527,Greensboro (North Carolina),Divorced,Leroy Mastropietro,1986-04-06
323-55-1635,(08)-5146-8568,Corpus Christi (Texas),Common-Law,Margret Milner,1969-01-11
279-51-1801,(07)-2298-3345,Baltimore (Maryland),Common-Law,Emil Reynoso,1987-02-04
177-51-1995,(03)-6812-4394,Virginia Beach (Virginia),Married,Joaquin Mastropietro,1987-03-29
216-23-1413,(04)-9719-1179,Minneapolis (Minnesota),Divorced,Rod Keaton,1982-01-04
238-82-1083,(08)-6975-5713,Pittsburgh (Pennsylvania),Single,Lucas Mcclanahan,1980-07-12
224-31-1067,(09)-5179-7527,Denver (Colorado),Common-Law,Elsa Paulin,1985-01-15
138-34-1285,(09)-5062-1247,San Bernardino (California),Married,Denis Bickford,1986-02-09
166-30-1021,(03)-8685-5075,Los Angeles (California),Divorced,Daisy Quisenberry,1983-06-22
339-31-1199,(04)-5146-4345,Lexington (Kentucky),Common-Law,Stanley Fogle,1976-12-16
177-54-1262,(07)-9999-4345,Glendale (Arizona),Divorced,Patricia Damore,1982-08-20
116-32-1858,(03)-6865-6535,Oakland (California),Common-Law,Emilio Hamada,1974-08-19
238-46-1107,(08)-5502-5388,Fremont (California),Married,Lana Clark,1989-12-08
238-51-1612,(08)-9854-8548,Tulsa (Oklahoma),Married,Velma Malave,1982-12-12
279-74-1315,(04)-9854-6922,Portland (Oregon),Married,Loretta Cordova,1984-07-06
301-23-1642,(03)-2926-2465,Madison (Wisconsin),Divorced,Camille Mitchell,1975-12-10
425-74-1688,(03)-8288-6781,Philadelphia[8] (Pennsylvania),Single,Phil Sheffer,1969-11-10
301-60-1344,(04)-3468-9130,Omaha (Nebraska),Divorced,Reba Haddock,1976-08-23
287-93-1602,(05)-5580-6535,Memphis (Tennessee),Married,Rudolf Oestreich,1982-08-23
116-60-1981,(05)-4286-1423,New York (New York),Single,Nicki Morris,1984-08-21
320-23-1171,(09)-3339-1247,Colorado Springs (Colorado),Married,Alfred Lindauer,1989-08-20
301-31-1491,(07)-2905-5965,San Jose (California),Divorced,Joanne Simms,1972-01-07
320-60-1954,(09)-2905-5036,Las Vegas (Nevada),Single,Dorthy Agostini,1983-11-22
138-99-1891,(03)-5330-1764,Cleveland (Ohio),Single,Hung Hang,1971-07-06
368-18-1968,(07)-3858-4444,Portland (Oregon),Married,Andrew Thao,1975-12-11
368-44-1642,(05)-7504-8568,Colorado Springs (Colorado),Single,Berry Whidden,1978-05-31
381-30-1851,(07)-3949-2115,El Paso (Texas),Common-Law,Jonathan Dressler,1983-07-30
381-54-1145,(05)-6812-8432,Aurora (Colorado),Married,Lamar Levin,1985-04-05
224-23-1549,(03)-6486-5867,Columbus (Ohio),Common-Law,Aretha Loveland,1989-06-09
425-82-1491,(04)-5902-5075,Sacramento (California),Common-Law,Rufus Blizzard,1984-08-23
320-44-1849,(08)-6486-4176,Portland (Oregon),Married,Abbie Zawacki,1975-01-23
368-83-1061,(07)-5592-8640,Houston (Texas),Common-Law,Yvonne Bisson,1986-01-13
279-44-1968,(08)-2926-5241,Corpus Christi (Texas),Married,Trent Tuthill,1985-03-14
287-54-1974,(05)-5580-1791,Baton Rouge (Louisiana),Common-Law,Malissa Navarrete,1977-01-06
381-51-1392,(09)-7703-1478,St. Louis (Missouri),Married,Debora Lucas,1978-01-28
391-25-1025,(03)-2926-8193,Lexington (Kentucky),Married,Adeline Do,1970-03-25
238-99-1979,(08)-4858-7286,Columbus (Ohio),Common-Law,Melani Lacey,1979-04-22
177-23-1543,(07)-5125-4176,Oakland (California),Divorced,Matthew Costilla,1983-03-22
301-85-1193,(04)-3339-2115,Jersey City (New Jersey),Divorced,Marissa Barb,1982-04-27
301-25-1950,(07)-5062-4289,San Diego (California),Common-Law,Rita Koch,1986-01-18
238-18-1286,(07)-5002-1764,Orlando (Florida),Divorced,Nelly Lovejoy,1977-09-30
279-25-1061,(05)-8685-2725,Los Angeles (California),Divorced,Lucas Dorsey,1979-02-02
