bank,ccn,ssn
East West Bank,3608-2181-4318-1056,224-44-1339
Regions Financial Corporation,3608-2596-4445-1245,138-23-1020
PNC Financial Services,3608-1782-4160-1194,287-82-1137
BNP Paribas,3608-1192-4329-1892,138-44-1849
Regions Financial Corporation,3608-2507-5489-1182,368-60-1954
Silicon Valley Bank,3608-2588-4458-1693,116-54-1759
First Republic Bank,3608-2968-4657-1931,381-23-2000
East West Bank,3608-2596-5407-1537,166-83-1759
Ally Financial,3608-1192-5407-1190,144-18-1500
Capital One,3608-2588-4344-1037,224-81-1883
Citizens Financial Group,3608-1192-5724-1055,368-18-1500
E-Trade,3608-2596-5890-1744,323-99-1551
E-Trade,3608-2968-4236-1245,391-93-1957
State Street Corporation,3608-1192-5132-1686,408-85-1216
JPMorgan Chase,3608-2181-4523-1351,166-51-1801
The Bank of New York Mellon,3608-1395-4342-1476,301-44-1882
SunTrust Banks,3608-1395-5152-1428,144-34-1612
Barclays,3608-2507-5489-1064,138-25-1822
CIT Group,3608-2968-5791-1407,425-74-1288
Morgan Stanley,3608-2181-4951-1837,279-30-1307
PNC Financial Services,3608-2800-4668-1936,339-55-1074
State Street Corporation,3608-2181-5407-1839,279-51-1907
American Express,3608-1395-5890-1001,381-51-1492
Charles Schwab Corporation,3608-2067-4236-1344,429-83-1405
HSBC Bank USA,3608-1192-5884-1278,116-18-1811
BBVA Compass,3608-1395-5489-1804,301-44-1912
Huntington Bancshares,3608-2968-4288-1435,381-83-1483
KeyCorp,3608-1721-4342-1623,216-81-1500
TD Bank. N.A.,3608-2751-4458-1109,216-46-1341
Mizuho Financial Group,3608-2507-4158-1278,425-54-1289
New York Community Bancorp,3608-2181-4264-1094,138-81-1825
Credit Suisse,3608-1395-4038-1198,279-93-1543
Synchrony Financial,3608-2181-4342-1394,177-99-1401
TD Bank. N.A.,3608-2067-5333-1693,216-25-1367
Credit Suisse,3608-2800-5766-1705,301-82-1718
Synchrony Financial,3608-2507-4856-1983,323-81-1291
Synchrony Financial,3608-1333-5696-1935,408-83-1801
TD Bank. N.A.,3608-1395-5890-1128,320-81-1718
MUFG Union Bank,3608-2751-4318-1037,408-51-1163
BB&T,3608-1395-5459-1244,408-18-1912
Zions Bancorp,3608-2588-4711-1428,429-93-1759
State Street Corporation,3608-2067-5983-1355,166-85-1891
American Express,3608-2181-5030-1300,279-82-1985
Capital One,3608-2968-5766-1637,166-34-1217
Mizuho Financial Group,3608-1192-4158-1130,177-83-1643
MUFG Union Bank,3608-2507-5470-1140,166-82-1263
Deutsche Bank,3608-2596-5890-1056,323-93-1666
Credit Suisse,3608-1395-4236-1931,391-44-1778
JPMorgan Chase,3608-1682-4580-1839,339-34-1512
East West Bank,3608-1395-5015-1194,425-74-1940
Credit Suisse,3608-1782-4318-1024,224-51-1924
BB&T,3608-2067-4994-1157,339-83-1559
Huntington Bancshares,3608-2181-5756-1999,381-93-1006
Bank of America,3608-2588-4005-1189,381-18-1435
Fifth Third Bank,3608-2588-5691-1583,339-55-1805
Credit Suisse,3608-2181-4344-1821,425-81-1747
Credit Suisse,3608-2181-5551-1255,287-30-1259
USAA,3608-2800-5724-1052,216-51-1912
Huntington Bancshares,3608-1333-5724-1216,138-60-1739
E-Trade,3608-1333-5551-1278,279-34-1043
Capital One,3608-2181-5015-1220,116-99-1050
Wells Fargo,3608-1395-5132-1361,116-83-1822
Mizuho Financial Group,3608-2067-4288-1121,177-83-1006
New York Community Bancorp,3608-2067-5152-1140,381-55-1759
American Express,3608-1333-4580-1377,216-74-1822
The Bank of New York Mellon,3608-1782-5756-1745,301-18-1259
Deutsche Bank,3608-2596-5333-1597,323-93-1778
Citizens Financial Group,3608-1333-4318-1130,238-23-1907
Royal Bank of Canada,3608-2751-5884-1596,301-23-1703
Credit Suisse,3608-2800-4383-1198,138-93-1941
American Express,3608-1395-5884-1844,320-32-1288
American Express,3608-1192-5988-1744,144-55-1501
New York Community Bancorp,3608-2968-4394-1589,224-60-1563
Comerica,3608-1721-5132-1558,368-83-1433
CIT Group,3608-1333-5634-1705,320-25-1579
Ally Financial,3608-2507-4005-1673,166-32-1753
Fifth Third Bank,3608-2588-5745-1194,224-30-1506
BB&T,3608-1782-5152-1140,391-99-1376
State Street Corporation,3608-2751-4458-1900,287-18-1615
Royal Bank of Canada,3608-1682-5407-1551,177-74-1680
UBS,3608-1782-4344-1407,138-31-1545
Goldman Sachs,3608-1192-4445-1717,339-34-1479
Ally Financial,3608-2181-4236-1032,216-46-1914
BBVA Compass,3608-1782-5890-1465,279-55-1994
KeyCorp,3608-1192-4458-1900,238-99-1914
Ally Financial,3608-1782-4580-1344,177-46-1020
Credit Suisse,3608-1333-5458-1968,381-54-1057
State Street Corporation,3608-1682-5407-1394,425-99-1924
E-Trade,3608-2181-4383-1292,177-30-1285
U.S. Bancorp,3608-1682-5196-1214,429-23-1226
Barclays,3608-2067-5459-1194,279-85-1202
Comerica,3608-1395-4318-1916,425-51-1688
Santander Bank,3608-2968-5132-1465,116-55-1163
JPMorgan Chase,3608-1395-5988-1900,177-34-1394
Zions Bancorp,3608-2968-4160-1617,279-30-1074
E-Trade,3608-2751-4342-1009,368-55-1866
Barclays,3608-1721-4711-1442,287-51-1417
Deutsche Bank,3608-2507-5458-1613,279-60-1718
People's United Financial,3608-1333-4318-1194,238-60-1535
TD Bank. N.A.,3608-1682-4354-1265,177-81-1344
State Street Corporation,3608-2507-5791-1128,177-55-1057
Silicon Valley Bank,3608-1333-5459-1300,216-31-1345
SunTrust Banks,3608-1395-4711-1052,391-54-1253
Royal Bank of Canada,3608-1721-4994-1968,301-44-1145
People's United Financial,3608-2800-5634-1583,138-44-1543
M&T Bank,3608-2800-4394-1629,408-31-1489
Deutsche Bank,3608-2968-5458-1558,323-51-1605
Barclays,3608-2067-5152-1631,287-34-1768
Royal Bank of Canada,3608-1721-5132-1306,381-30-1331
BNP Paribas,3608-1192-5459-1795,381-55-1025
Deutsche Bank,3608-2968-4329-1121,216-32-1332
East West Bank,3608-1682-4329-1181,368-23-1612
M&T Bank,3608-2968-5152-1064,238-93-1276
Citizens Financial Group,3608-1721-5634-1660,425-30-1235
USAA,3608-1333-5884-1617,320-31-1979
M&T Bank,3608-1192-5756-1217,320-83-1732
Zions Bancorp,3608-2751-5015-1109,138-81-1202
Regions Financial Corporation,3608-2181-4668-1217,323-93-1312
CIT Group,3608-2751-5152-1134,144-51-1954
HSBC Bank USA,3608-2181-5459-1935,391-54-1615
UBS,3608-1192-5756-1214,381-31-1331
UBS,3608-2751-4236-1795,320-54-1025
Huntington Bancshares,3608-2800-4354-1440,368-46-1507
People's United Financial,3608-2596-5551-1718,116-18-1341
Fifth Third Bank,3608-1333-4580-1623,339-32-1193
TD Bank. N.A.,3608-1395-4158-1068,339-23-1051
New York Community Bancorp,3608-2067-5691-1188,381-34-1227
PNC Financial Services,3608-1333-4318-1686,216-18-1747
CIT Group,3608-2181-4458-1185,138-85-1331
U.S. Bancorp,3608-1395-4580-1121,116-34-1048
BMO Harris Bank,3608-1333-4445-1960,166-23-1688
Bank of America,3608-1682-5724-1593,323-60-1202
Bank of America,3608-2067-4951-1589,238-99-1664
Capital One,3608-2751-5632-1278,166-99-1856
Morgan Stanley,3608-1782-5766-1596,144-44-1137
JPMorgan Chase,3608-1782-5152-1189,368-55-1856
Charles Schwab Corporation,3608-1682-4005-1377,320-34-1883
The Bank of New York Mellon,3608-1192-4005-1399,429-81-1148
M&T Bank,3608-2751-5791-1828,216-99-1778
Ally Financial,3608-2800-4264-1278,238-25-1433
Bank of America,3608-2067-5750-1009,177-23-1000
SunTrust Banks,3608-2067-4394-1306,116-46-1217
Goldman Sachs,3608-2751-4383-1255,216-82-1006
MUFG Union Bank,3608-1192-5038-1837,166-99-1286
Bank of America,3608-1721-5983-1837,216-31-1579
PNC Financial Services,3608-1682-5196-1613,429-46-1423
Zions Bancorp,3608-1721-5724-1844,224-85-1413
TD Bank. N.A.,3608-1721-5756-1936,381-44-1283
Barclays,3608-2067-4342-1214,323-83-1057
HSBC Bank USA,3608-1192-5551-1475,138-93-1289
Santander Bank,3608-1395-5745-1518,323-31-2000
BB&T,3608-2507-5551-1361,368-85-1957
Deutsche Bank,3608-2588-5988-1936,144-32-1992
Comerica,3608-2181-5489-1440,238-55-1022
Synchrony Financial,3608-2596-5724-1014,391-81-1074
The Bank of New York Mellon,3608-2181-4329-1475,320-23-1163
American Express,3608-2751-4383-1190,238-30-1974
KeyCorp,3608-1682-4994-1014,425-31-1405
Wells Fargo,3608-2751-5551-1682,116-93-1992
Ally Financial,3608-1682-4458-1583,429-83-1286
State Street Corporation,3608-2588-4951-1682,216-31-1837
Barclays,3608-2507-4668-1216,166-54-1772
Comerica,3608-1333-5030-1344,425-81-1327
HSBC Bank USA,3608-2067-5750-1188,301-85-1101
Citizens Financial Group,3608-1682-5458-1190,339-23-1359
American Express,3608-1333-5745-1613,368-51-1732
Silicon Valley Bank,3608-2507-4580-1265,116-23-1529
Capital One,3608-1192-4523-1181,116-60-1276
M&T Bank,3608-2588-5890-1056,116-51-1083
East West Bank,3608-2596-4394-1916,408-51-1727
Discover Financial,3608-1682-4038-1265,279-85-1061
Wells Fargo,3608-2181-5038-1130,301-83-1872
First Republic Bank,3608-1721-5638-1094,301-30-1367
Discover Financial,3608-1782-5551-1182,144-23-1159
Mizuho Financial Group,3608-2507-4951-1194,320-51-1262
Signature Bank,3608-2588-5884-1163,381-51-1914
American Express,3608-2968-5988-1603,368-81-1530
Signature Bank,3608-2751-5030-1916,116-85-1283
Citizens Financial Group,3608-2507-4711-1157,391-23-1514
Santander Bank,3608-2751-5632-1705,368-81-1289
Regions Financial Corporation,3608-2588-5634-1220,224-25-1491
Silicon Valley Bank,3608-2181-4342-1056,224-60-1376
East West Bank,3608-2968-4994-1900,138-31-1680
Capital One,3608-1782-5394-1558,323-82-1680
BB&T,3608-1395-5983-1394,301-55-1822
TD Bank. N.A.,3608-1721-4445-1623,391-25-1011
Wells Fargo,3608-1333-5030-1593,301-93-1202
Citizens Financial Group,3608-2751-5884-1474,301-99-1809
BNP Paribas,3608-1682-4329-1572,323-55-1012
KeyCorp,3608-2596-5983-1157,166-34-1417
Regions Financial Corporation,3608-1333-4236-1686,144-25-1061
BBVA Compass,3608-1682-5333-1518,116-30-1992
PNC Financial Services,3608-2968-5551-1983,224-81-1664
BB&T,3608-2751-5884-1265,368-85-1501
Fifth Third Bank,3608-2800-5983-1980,166-81-1012
Wells Fargo,3608-2588-5038-1032,138-30-1289
Barclays,3608-1192-4657-1055,425-32-1057
Fifth Third Bank,3608-2751-4344-1163,116-30-1442
Silicon Valley Bank,3608-1782-4994-1686,224-54-1394
Ally Financial,3608-1782-5015-1646,238-74-2000
Signature Bank,3608-1782-4160-1274,425-18-1514
Credit Suisse,3608-1192-5394-1344,279-83-1019
KeyCorp,3608-2588-4580-1892,320-46-1811
UBS,3608-1333-4856-1054,408-23-1813
Wells Fargo,3608-2596-4394-1214,368-51-1405
First Republic Bank,3608-1682-5407-1983,320-82-1914
Barclays,3608-1782-4342-1537,408-82-1559
Goldman Sachs,3608-1333-5196-1931,301-23-1331
Comerica,3608-1395-4711-1220,166-32-1283
BMO Harris Bank,3608-1721-4354-1968,287-25-1994
KeyCorp,3608-1782-5691-1597,216-81-1301
UBS,3608-2067-5152-1465,144-25-1680
Regions Financial Corporation,3608-2596-4458-1265,287-31-1871
Charles Schwab Corporation,3608-2181-4329-1900,323-18-1216
SunTrust Banks,3608-1721-5983-1189,287-93-1392
PNC Financial Services,3608-2751-5551-1245,323-23-1006
Wells Fargo,3608-2751-4951-1838,368-54-1912
Citizens Financial Group,3608-1395-4264-1182,144-44-1376
Zions Bancorp,3608-2181-5634-1603,381-44-1840
Charles Schwab Corporation,3608-1782-5196-1518,320-44-1872
Northern Trust Corporation,3608-1782-4354-1344,166-54-1950
Barclays,3608-2751-5030-1244,339-34-1324
Northern Trust Corporation,3608-2968-4354-1668,138-55-1778
KeyCorp,3608-2507-4329-1705,301-85-1171
The Bank of New York Mellon,3608-1333-5407-1399,320-32-1216
The Bank of New York Mellon,3608-2067-5638-1053,408-32-1226
Synchrony Financial,3608-1721-4711-1274,138-25-1227
BB&T,3608-1395-4711-1631,425-32-1331
USAA,3608-1682-5724-1094,216-25-1376
Citigroup,3608-2588-4856-1660,425-44-1394
Signature Bank,3608-2588-4264-1668,323-55-1199
Capital One,3608-1682-5407-1837,177-25-1768
Signature Bank,3608-2596-4523-1795,425-93-1307
PNC Financial Services,3608-1682-5459-1190,368-93-1732
Signature Bank,3608-2507-4344-1960,425-34-1954
Charles Schwab Corporation,3608-1192-5766-1572,323-44-1871
JPMorgan Chase,3608-1333-5988-1856,301-83-1543
Fifth Third Bank,3608-2507-5196-1673,408-55-1655
Morgan Stanley,3608-2507-4657-1596,144-31-1739
BMO Harris Bank,3608-1395-5696-1474,166-25-1893
Deutsche Bank,3608-2800-4318-1828,177-74-1950
Mizuho Financial Group,3608-2751-4318-1589,216-81-1171
E-Trade,3608-1395-4394-1465,138-32-1840
PNC Financial Services,3608-2588-5470-1572,224-32-1805
SunTrust Banks,3608-2507-4994-1181,323-93-1543
USAA,3608-1682-4445-1351,301-31-1291
American Express,3608-1333-5489-1617,408-34-1043
Royal Bank of Canada,3608-2067-4038-1216,429-82-1240
Morgan Stanley,3608-1333-5196-1900,425-25-1612
Goldman Sachs,3608-1782-5333-1220,287-81-1313
Synchrony Financial,3608-2968-5983-1916,116-23-1907
PNC Financial Services,3608-1721-4383-1442,166-54-1262
JPMorgan Chase,3608-2800-4657-1399,116-74-1148
JPMorgan Chase,3608-1782-5983-1220,368-93-1739
First Republic Bank,3608-2181-5407-1804,216-30-1021
JPMorgan Chase,3608-2507-5030-1220,425-32-1057
Signature Bank,3608-1782-4236-1795,177-23-1331
Discover Financial,3608-2181-5132-1631,425-46-1950
Silicon Valley Bank,3608-1721-4038-1377,323-32-1262
Popular. Inc.,3608-2751-5038-1265,339-83-1050
Zions Bancorp,3608-2968-5394-1844,368-46-1083
Signature Bank,3608-1682-4394-1935,238-60-1559
Silicon Valley Bank,3608-1395-5750-1052,408-82-1854
BNP Paribas,3608-1782-5638-1637,224-34-1491
Barclays,3608-2751-5551-1623,368-31-1688
Discover Financial,3608-1782-5458-1274,368-46-1025
People's United Financial,3608-2596-5988-1613,287-46-1413
Santander Bank,3608-1721-4458-1614,301-99-1263
PNC Financial Services,3608-2968-4264-1623,279-99-1217
PNC Financial Services,3608-1192-5691-1475,116-82-1858
SunTrust Banks,3608-1782-5551-1190,339-82-1413
The Bank of New York Mellon,3608-2968-5632-1383,368-25-1602
CIT Group,3608-2588-5696-1603,144-85-1950
Bank of America,3608-1782-4264-1794,287-46-1871
BMO Harris Bank,3608-2507-5333-1181,238-34-1692
People's United Financial,3608-1782-5638-1744,279-32-1519
BB&T,3608-2800-5890-1900,144-82-1981
Signature Bank,3608-2800-5745-1190,368-85-1019
Credit Suisse,3608-1395-4005-1960,238-23-1489
E-Trade,3608-1721-5458-1300,116-30-1288
Citigroup,3608-1333-4951-1381,301-46-1506
State Street Corporation,3608-2181-4668-1999,238-81-1655
First Republic Bank,3608-1395-4342-1442,339-93-1655
Zions Bancorp,3608-2596-4236-1718,279-32-1612
U.S. Bancorp,3608-2800-5551-1009,238-82-1442
Charles Schwab Corporation,3608-1395-5038-1185,301-18-1285
East West Bank,3608-1682-5766-1435,339-82-1620
Ally Financial,3608-2596-5632-1306,216-18-1733
Mizuho Financial Group,3608-2181-5333-1435,391-32-1199
Fifth Third Bank,3608-2067-4158-1614,391-31-1025
Morgan Stanley,3608-2181-5551-1024,287-99-1331
Northern Trust Corporation,3608-2067-4329-1037,144-81-1615
Wells Fargo,3608-1395-4318-1188,166-46-1979
Huntington Bancshares,3608-1192-5983-1245,279-31-1216
Signature Bank,3608-1395-5038-1407,287-31-1140
CIT Group,3608-2181-4668-1198,224-44-1559
New York Community Bancorp,3608-2751-4657-1140,138-54-1992
TD Bank. N.A.,3608-1192-5015-1344,116-31-1893
KeyCorp,3608-1682-4856-1596,177-23-1811
Citigroup,3608-1192-4657-1322,279-74-1048
U.S. Bancorp,3608-1682-5489-1440,391-54-1327
U.S. Bancorp,3608-1682-4354-1130,381-44-1463
Mizuho Financial Group,3608-2596-5691-1355,216-85-1620
Northern Trust Corporation,3608-2596-5745-1838,279-93-1289
Charles Schwab Corporation,3608-2968-4160-1300,391-25-1163
Citigroup,3608-2588-5890-1637,116-99-1739
Zions Bancorp,3608-2968-4005-1551,320-34-1285
BMO Harris Bank,3608-2596-4668-1821,177-18-1676
New York Community Bancorp,3608-1333-5756-1465,408-54-1193
Huntington Bancshares,3608-2588-5458-1344,339-23-1822
First Republic Bank,3608-1721-4354-1705,144-83-1511
Fifth Third Bank,3608-2588-4994-1300,425-81-1501
CIT Group,3608-1333-5691-1355,320-30-1912
Royal Bank of Canada,3608-2181-4657-1407,224-46-1530
BNP Paribas,3608-2751-4160-1795,425-99-1240
Popular. Inc.,3608-1682-5489-1435,381-83-1331
Silicon Valley Bank,3608-2181-5983-1056,177-82-1968
Synchrony Financial,3608-1682-5890-1292,425-34-1883
Comerica,3608-2067-4005-1292,224-31-1891
Huntington Bancshares,3608-2181-5407-1306,279-85-1968
TD Bank. N.A.,3608-2588-4657-1128,408-23-1367
PNC Financial Services,3608-1395-5030-1038,425-82-1043
Citizens Financial Group,3608-1333-5791-1181,408-32-1822
Credit Suisse,3608-2751-5766-1999,138-74-1469
Santander Bank,3608-2181-5766-1613,287-54-1954
Credit Suisse,3608-1721-5691-1194,301-60-1559
Deutsche Bank,3608-2968-4005-1980,238-85-1156
Popular. Inc.,3608-1333-4951-1053,116-85-1259
Northern Trust Corporation,3608-2181-5696-1558,116-81-1688
KeyCorp,3608-1721-5791-1558,279-81-2000
JPMorgan Chase,3608-2968-4668-1629,287-25-1313
TD Bank. N.A.,3608-1782-4288-1660,224-82-1021
BMO Harris Bank,3608-1682-5015-1844,138-82-1324
BB&T,3608-2800-5638-1474,425-31-1655
Capital One,3608-2596-5691-1916,391-44-1442
Citigroup,3608-1682-4458-1761,138-23-1940
Wells Fargo,3608-2968-4445-1976,429-81-1227
Citigroup,3608-2968-4005-1056,138-34-1492
TD Bank. N.A.,3608-1721-5691-1361,224-46-1327
UBS,3608-2067-4856-1037,425-51-1912
E-Trade,3608-2596-5551-1673,368-54-1019
Mizuho Financial Group,3608-2596-5988-1673,429-25-1676
PNC Financial Services,3608-1192-5745-1976,166-74-1507
Huntington Bancshares,3608-2596-5691-1794,166-32-1263
BBVA Compass,3608-2507-4005-1440,224-25-1392
KeyCorp,3608-1333-5632-1839,408-81-1324
Credit Suisse,3608-2800-5750-1976,224-54-1006
M&T Bank,3608-2588-4523-1442,177-46-1307
Morgan Stanley,3608-2751-5890-1134,339-23-1051
Discover Financial,3608-1333-5196-1394,368-46-1840
BNP Paribas,3608-2968-4856-1682,425-99-1496
Deutsche Bank,3608-2507-5745-1001,408-81-1374
American Express,3608-2181-4994-1274,320-82-1849
Charles Schwab Corporation,3608-2181-5890-1629,116-31-1145
Capital One,3608-2507-5551-1821,320-32-1858
First Republic Bank,3608-1395-5745-1440,339-25-1048
American Express,3608-1333-4038-1916,216-44-1054
Regions Financial Corporation,3608-1333-5890-1617,216-23-1145
Ally Financial,3608-1682-4394-1322,224-54-1739
PNC Financial Services,3608-2181-4342-1537,138-25-1943
BMO Harris Bank,3608-2596-4344-1220,425-18-1703
Barclays,3608-1782-5756-1274,287-31-1759
BBVA Compass,3608-1782-5791-1931,323-99-1006
Popular. Inc.,3608-2067-5696-1838,216-83-1083
New York Community Bancorp,3608-1192-4994-1795,408-30-1559
TD Bank. N.A.,3608-2968-4394-1009,391-23-1417
TD Bank. N.A.,3608-1192-5638-1383,238-85-1950
Huntington Bancshares,3608-2751-5724-1185,368-81-1549
American Express,3608-2181-4160-1821,425-60-1313
Credit Suisse,3608-2751-5745-1572,301-34-1101
SunTrust Banks,3608-2181-4329-1518,381-54-1074
American Express,3608-2968-5407-1064,339-44-1851
Goldman Sachs,3608-1192-5196-1931,238-81-1394
U.S. Bancorp,3608-2596-4383-1244,429-54-1020
Wells Fargo,3608-2067-4383-1054,144-31-1301
Fifth Third Bank,3608-1192-5015-1960,339-55-1022
First Republic Bank,3608-2596-4342-1056,177-85-1718
The Bank of New York Mellon,3608-1192-5015-1355,116-99-1378
M&T Bank,3608-1192-5988-1189,116-44-1872
People's United Financial,3608-1782-4264-1055,323-46-1954
Royal Bank of Canada,3608-1782-4383-1980,138-34-1145
Citizens Financial Group,3608-1395-5988-1244,144-23-1753
Northern Trust Corporation,3608-2588-4856-1355,216-54-1922
TD Bank. N.A.,3608-2800-5884-1761,320-23-1489
PNC Financial Services,3608-1682-4523-1052,216-51-1856
East West Bank,3608-1782-4994-1693,339-46-1813
CIT Group,3608-2067-4383-1265,323-93-1483
USAA,3608-2588-4342-1377,287-18-1615
First Republic Bank,3608-2588-4994-1518,425-83-1332
Popular. Inc.,3608-2596-4383-1745,339-60-1101
U.S. Bancorp,3608-1782-4342-1130,238-60-1489
American Express,3608-1721-4329-1215,116-46-1240
Mizuho Financial Group,3608-2968-4264-1128,144-74-1307
New York Community Bancorp,3608-2067-5766-1794,301-85-1954
TD Bank. N.A.,3608-2588-5890-1603,216-81-1301
USAA,3608-2588-5132-1121,287-81-1858
U.S. Bancorp,3608-2596-4383-1693,116-44-1872
Charles Schwab Corporation,3608-2800-4711-1094,144-30-1286
Royal Bank of Canada,3608-1333-4344-1381,391-30-1359
TD Bank. N.A.,3608-1682-5724-1383,287-31-1339
Barclays,3608-1395-4158-1717,339-25-1038
Bank of America,3608-2181-4394-1054,368-44-1061
E-Trade,3608-2507-4264-1181,138-32-1882
Discover Financial,3608-1782-4383-1140,138-54-1423
Royal Bank of Canada,3608-2588-5551-1274,144-54-1048
JPMorgan Chase,3608-1395-4856-1344,381-81-1759
Discover Financial,3608-1782-5015-1292,381-74-1974
E-Trade,3608-2507-4288-1056,116-55-1171
Goldman Sachs,3608-2800-4657-1129,287-55-1259
Citigroup,3608-1782-5884-1129,116-51-1235
Huntington Bancshares,3608-2067-4394-1181,408-55-1851
Capital One,3608-1682-5638-1009,408-60-1985
Charles Schwab Corporation,3608-1682-4668-1761,339-34-1469
Silicon Valley Bank,3608-2507-5766-1935,216-83-1688
BBVA Compass,3608-2507-4951-1900,224-74-1226
E-Trade,3608-1721-4005-1344,339-25-1263
Credit Suisse,3608-1682-5696-1009,339-32-1344
Charles Schwab Corporation,3608-1395-5988-1828,138-85-1732
Barclays,3608-1395-4005-1794,216-93-1193
State Street Corporation,3608-2181-4318-1032,381-60-1759
American Express,3608-1395-5132-1646,116-81-1479
East West Bank,3608-1333-4005-1936,425-85-2000
BMO Harris Bank,3608-2751-4580-1593,429-25-1312
Capital One,3608-2588-5470-1300,429-93-1359
Popular. Inc.,3608-2800-4342-1693,391-55-1329
Zions Bancorp,3608-2067-5458-1322,368-46-1423
JPMorgan Chase,3608-1192-5394-1428,166-93-1893
Signature Bank,3608-2067-4951-1844,391-99-1579
Huntington Bancshares,3608-2588-4523-1344,320-54-1856
Zions Bancorp,3608-1721-4383-1668,339-81-1664
UBS,3608-2968-4523-1839,320-44-1216
Mizuho Financial Group,3608-2588-4580-1717,216-74-1758
East West Bank,3608-2968-5756-1693,381-54-1605
PNC Financial Services,3608-2596-5458-1631,166-18-1107
Morgan Stanley,3608-2800-5750-1603,339-30-1392
UBS,3608-2800-5890-1474,238-51-1367
Discover Financial,3608-1395-5030-1217,224-55-1692
Comerica,3608-1333-4383-1435,301-81-1496
Deutsche Bank,3608-1192-4668-1255,320-54-1331
JPMorgan Chase,3608-1395-4458-1052,391-46-1979
Zions Bancorp,3608-1395-5756-1181,144-18-1374
CIT Group,3608-1682-4523-1629,425-32-1378
HSBC Bank USA,3608-2067-4951-1428,166-60-1813
Northern Trust Corporation,3608-2588-4580-1188,301-54-1922
TD Bank. N.A.,3608-1782-5470-1053,429-81-1359
First Republic Bank,3608-1333-4383-1693,216-31-1529
Huntington Bancshares,3608-1395-4288-1856,144-93-1500
Charles Schwab Corporation,3608-2596-4005-1157,238-54-1061
Huntington Bancshares,3608-2968-5756-1999,429-74-1768
Deutsche Bank,3608-2067-5884-1182,381-44-1994
First Republic Bank,3608-1721-5756-1838,391-85-1529
Huntington Bancshares,3608-1333-4711-1215,408-30-1424
Signature Bank,3608-2507-5132-1399,368-55-1433
Huntington Bancshares,3608-2067-4445-1631,238-82-1019
Capital One,3608-1782-5470-1163,368-46-1957
Synchrony Financial,3608-2181-5015-1761,144-30-1500
Citigroup,3608-2588-4038-1745,144-83-1858
Huntington Bancshares,3608-1721-4383-1435,166-31-1216
E-Trade,3608-2800-5152-1094,381-30-1851
New York Community Bancorp,3608-1192-4668-1915,138-54-1301
Regions Financial Corporation,3608-1782-5152-1892,320-25-1747
Comerica,3608-2067-5459-1686,287-81-1954
BBVA Compass,3608-2596-4951-1583,320-85-1647
Discover Financial,3608-1782-5489-1465,144-23-1327
BBVA Compass,3608-1395-5634-1931,323-31-1025
TD Bank. N.A.,3608-2588-4005-1428,408-74-1051
Northern Trust Corporation,3608-1395-5551-1361,216-51-1156
Comerica,3608-1682-4394-1497,408-51-1840
KeyCorp,3608-2181-5458-1935,408-30-1851
Goldman Sachs,3608-1192-4951-1194,166-34-1992
Barclays,3608-2968-4951-1037,301-31-1263
UBS,3608-1682-4856-1795,138-23-1148
BNP Paribas,3608-2751-5724-1960,301-85-1759
BNP Paribas,3608-1333-4458-1244,323-18-1514
M&T Bank,3608-2596-5988-1407,408-18-1957
U.S. Bancorp,3608-2751-5458-1596,177-51-1263
MUFG Union Bank,3608-1782-5030-1551,408-54-1217
East West Bank,3608-1782-4354-1744,138-81-1551
People's United Financial,3608-1782-4951-1407,323-23-1383
Popular. Inc.,3608-2181-4580-1094,323-31-1583
Barclays,3608-2800-5638-1931,368-54-1753
Credit Suisse,3608-1782-5696-1220,224-81-1483
First Republic Bank,3608-2067-5724-1255,279-25-1394
Santander Bank,3608-2507-4288-1355,425-74-1950
New York Community Bancorp,3608-1682-5634-1216,279-32-1519
SunTrust Banks,3608-2751-4458-1976,224-81-1374
SunTrust Banks,3608-2181-5983-1660,391-82-1417
Santander Bank,3608-2800-5791-1589,216-34-1374
Northern Trust Corporation,3608-1333-5038-1407,301-23-1615
Morgan Stanley,3608-2968-4038-1761,381-93-1224
Huntington Bancshares,3608-1395-5030-1583,279-74-1506
Credit Suisse,3608-2751-5132-1646,408-83-1468
PNC Financial Services,3608-1721-5407-1245,301-32-1054
SunTrust Banks,3608-2067-4711-1064,381-18-1940
SunTrust Banks,3608-2507-4711-1361,216-51-1732
E-Trade,3608-2067-4951-1024,238-93-1837
Credit Suisse,3608-1682-5551-1629,408-25-1809
SunTrust Banks,3608-2067-4458-1968,429-55-1907
Mizuho Financial Group,3608-1682-5988-1804,339-25-1263
Signature Bank,3608-2181-5196-1646,138-99-1006
Popular. Inc.,3608-2596-4005-1976,429-74-1053
Silicon Valley Bank,3608-2596-4951-1838,166-54-1521
Morgan Stanley,3608-2596-5152-1596,138-31-1226
Signature Bank,3608-2800-5890-1274,323-93-1813
E-Trade,3608-1395-5750-1109,301-18-1159
UBS,3608-2800-4158-1976,320-25-1914
The Bank of New York Mellon,3608-1782-4458-1300,323-23-1676
People's United Financial,3608-1192-5132-1024,138-34-1511
State Street Corporation,3608-2067-4668-1009,339-25-1315
The Bank of New York Mellon,3608-2751-4236-1717,339-32-1383
Royal Bank of Canada,3608-2067-5030-1278,320-30-1468
State Street Corporation,3608-2181-4394-1900,381-46-1543
Zions Bancorp,3608-2067-4160-1214,429-81-1805
